"constructor_Results_ID","race_ID","constructor_ID","driver_ID","points","number","position","position_Text","status_ID"
1,1,1,65,6,3,2,"2",1
2,1,1,67,9,2,1,"1",1
3,1,1,40,4,4,3,"3",1
4,1,1,66,0,1,12,"R",44
5,1,2,59,0,24,16,"R",7
6,1,2,9,0,23,13,"N",60
7,1,3,42,0,9,20,"R",6
8,1,3,10,0,8,21,"R",124
9,1,3,33,0,11,7,"7",13
10,1,3,78,0,9,20,"R",6
11,1,3,26,0,12,6,"6",13
12,1,4,55,0,19,18,"R",8
13,1,4,74,0,5,15,"R",5
14,1,4,31,0,6,9,"9",16
15,1,4,28,0,20,17,"R",5
16,1,4,22,0,21,14,"R",58
17,1,4,71,0,10,10,"10",16
18,1,4,50,0,10,10,"10",16
19,1,5,64,0,16,8,"8",15
20,1,5,52,3,14,4,"4",12
21,1,5,44,2,15,5,"5",12
22,1,5,15,0,17,19,"R",51
23,1,5,57,0,18,11,"11",16
24,2,1,67,0,32,11,"R",3
25,2,1,66,9,34,1,"1",1
26,2,1,65,0,36,12,"R",3
27,2,3,26,0,26,6,"6",16
28,2,3,33,0,24,17,"R",3
29,2,4,55,4,48,3,"3",12
30,2,4,41,0,44,18,"R",3
31,2,4,22,2,50,5,"5",15
32,2,4,27,0,2,10,"R",3
33,2,4,79,0,4,21,"W",3
34,2,4,28,0,52,15,"R",3
35,2,5,57,0,6,7,"7",16
36,2,5,44,0,16,13,"R",3
37,2,5,64,0,14,9,"R",44
38,2,6,47,0,8,19,"R",4
39,2,7,51,3,42,4,"4",13
40,2,7,3,0,38,8,"R",107
41,2,7,18,6,40,2,"2",11
42,2,7,7,0,28,20,"W",5
43,2,8,14,0,10,14,"R",3
44,2,8,2,0,12,16,"R",3
45,3,4,6,0,21,20,"20",54
46,3,4,19,0,12,25,"R",68
47,3,9,12,0,24,27,"R",51
48,3,9,53,0,24,27,"R",51
49,3,10,43,4,31,3,"3",11
50,3,10,20,0,14,31,"R",65
51,3,10,36,6,3,2,"2",11
52,3,11,61,0,22,17,"17",86
53,3,12,73,0,49,14,"14",20
54,3,12,69,0,59,10,"10",13
55,3,12,17,0,28,28,"R",44
56,3,12,68,0,98,7,"7",13
57,3,12,20,1,17,5,"5",12
58,3,12,56,1,17,5,"5",12
59,3,12,5,0,4,19,"19",45
60,3,12,63,0,69,33,"R",44
61,3,12,76,9,1,1,"1",1
62,3,12,8,0,61,29,"R",124
63,3,12,38,0,81,21,"21",52
64,3,12,72,0,62,18,"18",86
65,3,12,32,0,23,30,"R",51
66,3,12,35,0,15,13,"13",16
67,3,12,29,3,54,4,"4",11
68,3,13,34,0,75,16,"16",86
69,3,14,25,0,5,8,"8",13
70,3,14,45,0,55,15,"15",18
71,3,15,70,0,2,11,"11",15
72,3,16,4,0,8,6,"6",12
73,3,17,77,0,7,9,"9",13
74,3,18,37,0,77,23,"23",20
75,3,19,16,0,27,22,"22",110
76,3,20,48,0,67,26,"R",7
77,3,21,60,0,18,12,"12",15
78,3,22,62,0,45,32,"R",83
79,3,23,39,0,76,24,"24",114
80,4,1,65,6,12,2,"2",1
81,4,1,66,0,14,12,"R",5
82,4,1,67,9,16,1,"1",1
83,4,4,55,0,26,9,"9",13
84,4,4,22,3,30,4,"4",12
85,4,4,28,0,32,6,"6",12
86,4,4,23,2,34,5,"5",12
87,4,4,24,0,40,11,"11",17
88,4,4,75,0,2,7,"7",13
89,4,5,52,0,6,18,"R",3
90,4,5,64,0,42,13,"R",6
91,4,5,57,0,4,10,"10",14
92,4,5,15,0,8,14,"R",3
93,4,5,44,4,10,3,"3",11
94,4,5,47,0,44,8,"8",13
95,4,7,51,0,20,15,"R",22
96,4,7,18,0,18,17,"R",92
97,4,7,3,0,22,16,"R",5
98,5,1,66,8,10,1,"1",1
99,5,1,67,4,8,4,"4",1
100,5,1,65,6,12,2,"2",1
101,5,2,59,0,26,9,"9",15
102,5,4,24,0,30,10,"10",16
103,5,5,52,0,18,14,"R",106
104,5,5,54,0,20,11,"R",106
105,5,5,64,0,16,13,"R",25
106,5,5,11,0,22,7,"7",12
107,5,5,44,4,14,3,"3",1
108,5,5,57,0,24,8,"8",13
109,5,5,51,0,6,12,"R",51
110,5,7,3,0,2,6,"6",12
111,5,7,18,2,4,5,"5",11
112,6,1,66,9,6,1,"1",1
113,6,1,67,0,2,7,"7",48
114,6,1,65,6,4,2,"2",1
115,6,4,23,0,40,10,"R",5
116,6,4,31,0,34,16,"R",5
117,6,4,40,0,32,13,"R",5
118,6,4,55,0,30,15,"R",5
119,6,4,41,0,28,14,"R",5
120,6,4,27,0,36,18,"R",5
121,6,5,44,0,20,12,"R",25
122,6,5,64,1,16,5,"5",15
123,6,5,52,0,18,8,"8",54
124,6,5,44,0,26,6,"6",18
125,6,5,51,0,12,17,"R",25
126,6,5,11,0,22,9,"R",5
127,6,5,54,1,16,5,"5",15
128,6,5,81,0,26,6,"6",18
129,6,5,57,0,42,11,"R",25
130,6,7,7,4,14,3,"3",13
131,6,8,14,3,44,4,"4",13
132,7,1,65,4,36,3,"3",1
133,7,1,1,0,60,13,"R",5
134,7,1,46,0,46,23,"R",5
135,7,1,66,0,60,13,"R",5
136,7,1,67,8,10,1,"1",1
137,7,1,66,1,18,15,"R",6
138,7,3,33,0,32,9,"R",21
139,7,4,74,0,50,8,"R",6
140,7,4,28,0,38,6,"6",18
141,7,4,58,0,62,20,"R",31
142,7,4,55,0,6,22,"R",51
143,7,4,80,0,28,26,"R",5
144,7,4,41,0,4,12,"R",31
145,7,4,22,0,30,25,"R",5
146,7,5,11,0,56,14,"R",6
147,7,5,44,3,58,4,"4",15
148,7,5,57,0,2,16,"R",25
149,7,5,51,0,12,10,"R",6
150,7,5,30,0,40,11,"R",106
151,7,5,64,2,24,5,"5",15
152,7,5,13,0,64,19,"R",23
153,7,7,7,0,8,7,"7",18
154,7,7,49,3,48,2,"2",1
155,7,7,18,0,16,17,"R",5
156,7,7,18,3,48,2,"2",1
157,7,7,21,0,22,18,"R",5
158,7,8,2,0,42,21,"R",108
159,7,8,14,0,44,24,"R",7
160,7,24,23,0,52,27,"W",53
161,8,1,67,4,22,3,"3",1
162,8,1,66,9,24,1,"1",1
163,8,1,28,2,26,5,"5",12
164,8,1,46,3,28,4,"4",11
165,8,4,55,0,30,7,"7",12
166,8,4,47,0,32,12,"12",14
167,8,5,13,0,10,16,"R",3
168,8,5,30,0,40,14,"14",45
169,8,5,64,0,4,10,"10",13
170,8,5,52,0,6,18,"R",78
171,8,5,44,0,8,9,"9",13
172,8,5,57,0,2,13,"13",17
173,8,5,27,0,42,20,"R",92
174,8,7,102,0,38,11,"11",13
175,8,7,7,0,16,15,"R",3
176,8,7,3,0,18,19,"R",3
177,8,7,18,0,20,6,"6",12
178,8,7,1,6,44,2,"2",1
179,8,25,87,0,12,17,"R",119
180,8,25,83,0,14,8,"8",12
181,8,26,109,0,52,21,"R",67
182,9,4,72,0,12,32,"R",93
183,9,10,43,0,16,14,"R",3
184,9,10,35,0,19,31,"R",5
185,9,10,20,0,5,9,"R",20
186,9,10,60,0,27,8,"8",125
187,9,12,73,2,9,3,"3",1
188,9,12,111,0,73,18,"R",42
189,9,12,82,0,32,25,"R",78
190,9,12,48,0,10,13,"R",5
191,9,12,17,0,59,17,"R",8
192,9,12,29,0,4,22,"R",5
193,9,12,4,9,99,1,"1",1
194,9,12,107,0,23,28,"R",107
195,9,12,45,0,98,23,"R",5
196,9,12,104,0,69,11,"R",5
197,9,12,89,2,9,3,"3",1
198,9,12,85,6,83,2,"2",1
199,9,12,5,0,44,26,"R",119
200,9,12,84,0,18,10,"R",31
201,9,12,32,0,25,12,"R",5
202,9,12,76,0,3,21,"R",119
203,9,12,103,0,68,7,"7",17
204,9,14,25,0,22,30,"R",7
205,9,15,113,0,8,20,"R",42
206,9,16,19,0,1,6,"6",1
207,9,22,94,0,26,33,"R",7
208,9,27,93,0,48,27,"R",106
209,9,28,99,0,71,19,"R",8
210,9,29,68,0,2,15,"R",5
211,9,30,61,0,76,16,"R",107
212,9,31,90,2,52,5,"5",1
213,9,31,63,0,6,24,"R",25
